Longitude,Latitude,EVI,LST,precipitation,Zona_Cluster,cluster
97.35178921,5.189082196,0.373895745,25.29,6.5872536,5,1
97.35388134,5.189082196,0.400076,25.29,6.5872536,5,1
97.35597346,5.189082196,0.416298,25.29,6.5872536,5,1
97.35806558,5.189082196,0.43411,25.31,6.5872536,5,1
97.36015771,5.189082196,0.436846,25.31,6.5872536,5,1
97.36224983,5.189082196,0.423514,25.31,6.5872536,5,1
97.36434196,5.189082196,0.424462,25.31,6.5872536,5,1
97.36643408,5.189082196,0.4097,25.33,6.5872536,5,1
97.36852621,5.189082196,0.37083,25.33,6.5872536,5,1
97.37061833,5.189082196,0.366998,25.33,6.5872536,5,1
97.37271046,5.189082196,0.354878,25.33,6.5872536,5,1
97.37480258,5.189082196,0.363076,25.37,6.5872536,5,1
97.37689471,5.189082196,0.355054,25.37,6.5872536,5,1
97.37898683,5.189082196,0.318116,25.37,6.5872536,5,1
97.38107896,5.189082196,0.3383,25.37,6.5872536,5,1
97.38317108,5.189082196,0.358846,25.23,6.5872536,5,1
97.3852632,5.189082196,0.328558,25.23,6.5872536,5,1
97.38735533,5.189082196,0.285968,25.23,6.5872536,4,1
97.38944745,5.189082196,0.28771,25.23,6.5872536,5,1
97.39153958,5.189082196,0.303432,25.07,6.5872536,5,1
97.3936317,5.189082196,0.350244,25.07,6.5872536,5,1
97.39572383,5.189082196,0.358974,25.07,6.5872536,5,1
97.39781595,5.189082196,0.33942,25.07,6.5872536,5,1
97.33263871,5.186998645,0.1559,24.99,6.5872536,4,0
97.33473083,5.186998645,0.1559,24.99,6.5872536,4,0
97.33682295,5.186998645,0.19138,24.99,6.5872536,4,0
97.33891507,5.186998645,0.17992,24.99,6.5872536,4,0
97.34100719,5.186998645,0.140342857,25.17,6.5872536,4,0
97.3430993,5.186998645,0.152278571,25.17,6.5872536,4,0
97.34519142,5.186998645,0.171852941,25.17,6.5872536,4,0
97.34728354,5.186998645,0.198576471,25.17,6.5872536,4,0
97.34937566,5.186998645,0.228395556,25.29,6.5872536,4,0
97.35146777,5.186998645,0.249944444,25.29,6.5872536,4,0
97.35355989,5.186998645,0.289252,25.29,6.5872536,5,1
97.35565201,5.186998645,0.324974,25.29,6.5872536,5,1
97.35774413,5.186998645,0.361582,25.31,6.5872536,5,1
97.35983625,5.186998645,0.375488,25.31,6.5872536,5,1
97.36192836,5.186998645,0.38604,25.31,6.5872536,5,1
97.36402048,5.186998645,0.37897,25.31,6.5872536,5,1
97.3661126,5.186998645,0.3707,25.33,6.5872536,5,1
97.36820472,5.186998645,0.375838,25.33,6.5872536,5,1
97.37029683,5.186998645,0.378138,25.33,6.5872536,5,1
97.37238895,5.186998645,0.379292,25.33,6.5872536,5,1
97.37448107,5.186998645,0.362982,25.37,6.5872536,5,1
97.37657319,5.186998645,0.346526,25.37,6.5872536,5,1
97.3786653,5.186998645,0.384072,25.37,6.5872536,5,1
97.38075742,5.186998645,0.384252,25.37,6.5872536,5,1
97.38284954,5.186998645,0.382412,25.23,6.5872536,5,1
97.38494166,5.186998645,0.39419,25.23,6.5872536,5,1
